Chord,Note
C-minor triad,C5
D-half-diminished seventh chord,D5
C-quartal trichord,D5
C-minor-augmented tetrachord,C5
Ab-major triad,C5
Ab-major triad,E-5
F-minor seventh chord,E-5
D-diminished triad,D5
F-minor seventh chord,C5
G-dominant seventh chord,B4
C-minor triad,G5
C-minor triad,C5
D-minor triad,A4
G-major triad,B4
C-quartal trichord,C5
C-major triad,C5
A-minor triad,A4
A-minor triad,A4
C-augmented major tetrachord,B4
Minor Third with octave doublings above A,C5
B-minor seventh chord,D5
G-major triad,B4
A-minor seventh chord,C5
A-minor triad,C5
G-whole-tone tetramirror,B4
F-major triad,C5
E-dominant seventh chord,D5
E-major triad,E5
D-quartal trichord,D5
A-major-second minor tetrachord,C5
C-double-fourth tetramirror,B4
D-minor triad,A4
A-quartal trichord,B4
E-major triad,B4
E-tritone quartal tetrachord,A4
A-minor triad,A4
A-minor triad,E5
B-all-interval tetrachord,D5
A-minor triad,C5
A-quartal trichord,B4
F-incomplete major-seventh chord,A4
E-major triad,B4
E-major triad,B4
A-minor triad,C5
C-quartal trichord,D5
C-major triad,E5
A-minor triad,E5
D-major triad,D5
A-minor seventh chord,C5
B-minor triad,B4
D-incomplete dominant-seventh chord,C5
G-major triad,B4
E-major triad,B4
A-minor triad,C5
G-dominant seventh chord,D5
C-perfect-fourth major tetrachord,E5
E-minor seventh chord,E5
D-major triad,D5
C-augmented triad,C5
B-half-diminished seventh chord,B4
D-incomplete dominant-seventh chord,C5
E-major triad,B4
A-minor triad,E5
D-minor triad,D5
A-minor triad,C5
G#-diminished seventh chord,B4
D-minor triad,A4
A-quartal trichord,B4
E-dominant seventh chord,B4
A-major seventh chord,A4
A-major triad,A4
G-major triad,B4
G-major triad,B4
B-major triad,B4
E-minor triad,B4
A-minor triad,E5
D-dominant seventh chord,D5
D-dominant seventh chord,D5
Minor Third with octave doublings above A,C5
A-minor triad,C5
G-major triad,B4
G-major triad,G4
D-major triad,A4
D-major triad,A4
E-incomplete dominant-seventh chord,B4
Perfect Fifth with octave doublings above C,C5
D-major triad,D5
D-dominant seventh chord,C5
E-minor triad,B4
A-minor seventh chord,A4
D-major triad,A4
G-major triad,G4
A-dominant seventh chord,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
B-major triad,B4
B-dominant seventh chord,A4
E-major-second minor tetrachord,G4
E-minor triad,G4
A-major triad,A4
E-minor triad,G4
F#-half-diminished seventh chord,F#4
B-major triad,F#4
B-major triad,F#4
E-minor triad,G4
C-major triad,G4
A-minor triad,A4
F#-diminished triad,A4
G-major triad,B4
C-major seventh chord,C5
D-major triad,D5
D-dominant seventh chord,C5
G-major-second major tetrachord,B4
A-minor seventh chord,A4
G-major triad,G4
A-major triad,A4
B-quartal tetramirror,B4
A-major triad,C#5
D-major triad,D5
E-major triad,E5
B-minor triad,D5
A-major triad,C#5
E-major triad,B4
A-major triad,C#5
A-major triad,C#5
F#-minor triad,C#5
B-minor seventh chord,B4
A-major triad,C#5
B-incomplete minor-seventh chord,D5
D-incomplete major-seventh chord,C#5
E-dominant seventh chord,B4
A-major triad,A4
B-quartal tetramirror,B4
A-major triad,A4
A-major triad,A4
E-major triad,B4
A#-major-third diminished tetrachord,C#5
Minor Third with octave doublings above B,D5
F#-dominant seventh chord,C#5
G-incomplete major-seventh chord,B4
F#-dominant seventh chord,C#5
B-minor triad,B4
E-major triad,B4
A-major triad,C#5
D-major triad,D5
E-major triad,E5
D-major triad,D5
A-major triad,C#5
B-minor triad,B4
F#-major triad,C#5
A-major triad,C#5
F#-minor triad,C#5
B-minor seventh chord,B4
A-major triad,C#5
Minor Third with octave doublings above B,D5
B-minor trichord,C#5
E-dominant seventh chord,B4
A-major triad,A4
Major Third with octave doublings above D,F#4
E-major triad,G#4
A-major triad,A4
A-major triad,A4
D-minor triad,A4
D-minor triad,A4
G-dominant seventh chord,G4
A-major triad,A4
D-major-second minor tetrachord,F4
D-quartal trichord,E4
Minor Third with octave doublings above D,D4
D-minor triad,A4
B-diminished triad,B4
A-minor triad,C5
D-minor triad,D5
D-minor triad,A4
B-diminished triad,B4
C-augmented triad,C5
B-quartal tetramirror,B4
Major Third with octave doublings above A,A4
A-minor triad,C5
C-major triad,C5
C-major triad,C5
G-perfect-fourth minor tetrachord,B-4
F-major triad,A4
A-minor seventh chord,G4
D-minor triad,F4
E-half-diminished seventh chord,G4
F-major triad,A4
C-major triad,G4
Major Third with octave doublings above F,F4
F-major triad,A4
A-major triad,A4
D-minor triad,A4
G-minor triad,G4
G-minor seventh chord,F4
E-half-diminished seventh chord,E4
D-quartal trichord,E4
Minor Third with octave doublings above D,D4
A-major triad,A4
D-minor triad,A4
G-incomplete minor-seventh chord,G4
F-major triad,A4
G-major triad,B4
C-major triad,C5
G-perfect-fourth major tetrachord,B4
A-quartal tetramirror,A4
Major Third with octave doublings above G,G4
G-major triad,D5
C-major triad,E5
D-minor triad,D5
D-minor triad,A4
B-half-diminished seventh chord,B4
A-minor triad,C5
E-major triad,B4
F-major triad,A4
B-half-diminished seventh chord,B4
Major Third with octave doublings above A,A4
G-major triad,G4
C-major triad,G4
D-quartal tetramirror,G4
C-major-second major tetrachord,G4
C-major triad,G4
G-major triad,G4
G-quartal trichord,A4
G-major triad,B4
C-major triad,C5
F-major triad,C5
D-minor triad,D5
D-minor triad,D5
F-major triad,C5
F-quartal trichord,G4
G-major triad,G4
D-minor triad,A4
E-minor triad,B4
C-major triad,C5
F-major triad,C5
D-minor triad,D5
D-incomplete minor-seventh chord,D5
F-quartal trichord,C5
C-major triad,G4
A-major triad,A4
E-half-diminished seventh chord,G4
D-minor triad,F4
C-major triad,G4
F-major triad,A4
B-half-diminished seventh chord,B4
A-minor triad,C5
Bb-augmented triad,B-4
D-dominant seventh chord,A4
E-diminished triad,G4
D-major triad,A4
G-minor triad,B-4
D-minor triad,A4
G-dominant seventh chord,G4
C-major-second major tetrachord,G4
C-quartal trichord,G4
G-major triad,G4
G-major triad,G4
D-major triad,D5
G-major-second major tetrachord,D5
A-minor seventh chord,C5
D-major triad,D5
G-major triad,B4
G-major triad,G4
G-major triad,B4
G-major triad,B4
G-quartal trichord,A4
D-major triad,A4
G-major seventh chord,G4
A-major triad,A4
D-major triad,F#4
D-major triad,D4
D-major triad,A4
D-major triad,A4
G-major triad,B4
G-quartal trichord,A4
G-quartal trichord,G4
D-major triad,F#4
D-quartal trichord,E4
A-tritone quartal tetrachord,D4
D-major triad,D4
D-major triad,D5
D-major triad,D5
G#-diminished seventh chord,D5
E-major triad,E5
A-major-second minor tetrachord,C5
D-major triad,D5
G-major triad,B4
G-major triad,G4
G-major triad,B4
E-minor triad,B4
A-dominant seventh chord,A4
D-major triad,A4
G-major seventh chord,G4
A-major triad,A4
D-major triad,F#4
D-major triad,D4
G-major triad,G4
D-major triad,A4
G-major triad,B4
F#-diminished triad,C5
G-major triad,D5
C-major triad,C5
G-major triad,B4
D-major triad,A4
G-incomplete major-seventh chord,G4
G-major triad,G4
E-minor triad,B4
B-major triad,B4
A-quartal trichord,B4
E-minor triad,B4
C-major triad,E5
G-quartal trichord,D5
D-dominant seventh chord,C5
G-major triad,B4
G-major triad,B4
C-quartal trichord,C5
D-major triad,D5
D-major triad,F#4
E-minor triad,G4
A-minor triad,A4
B-major triad,B4
A-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
G-major triad,B4
D-major triad,A4
D-major triad,A4
G-major triad,B4
C#-tritone-fourth,C#5
D-major triad,D5
D-major triad,D5
A-major triad,C#5
Major Third with octave doublings above D,D5
D-major triad,D5
G-major triad,B4
G-major triad,B4
C-major triad,C5
B-perfect-fourth diminished tetrachord,D5
C-incomplete major-seventh chord,E5
E-minor triad,B4
E-minor triad,B4
A-minor triad,A4
C-major seventh chord,G4
F#-half-diminished seventh chord,F#4
E-quartal trichord,F#4
B-tritone quartal tetrachord,E4
E-major triad,E4
E-minor triad,B4
D-major triad,D5
G-major triad,B4
B-dominant seventh chord,B4
E-minor triad,B4
B-major triad,B4
C-major triad,C5
G-major-second major tetrachord,B4
A-minor seventh chord,A4
D-major triad,A4
G-major triad,G4
G-major triad,B4
G-major triad,D5
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
A-minor triad,E4
E-minor triad,G4
B-major triad,F#4
E-minor triad,E4
G-major triad,B4
G-major-second major tetrachord,A4
G-major triad,G4
G-quartal trichord,A4
D-major-second major tetrachord,D5
G-major triad,B4
G-major triad,G4
D-major triad,A4
E-minor triad,G4
E-all-interval tetrachord,G4
C-major triad,G4
C-quartal trichord,G4
A-minor triad,A4
G-major triad,B4
A-minor seventh chord,A4
G-major triad,G4
G-major triad,D4
G-quartal trichord,D4
E-minor triad,E4
D-major triad,F#4
E-minor seventh chord,G4
A-major triad,A4
D-major triad,F#4
D-major triad,D4
G-major triad,G4
A-incomplete minor-seventh chord,G4
C-major triad,G4
C-major triad,G4
A-minor triad,A4
G-major triad,B4
G-quartal trichord,A4
G-major triad,G4
E-minor triad,G4
A-minor seventh chord,A4
G-major triad,B4
D-minor triad,A4
A-minor triad,C5
A-minor triad,C5
E-minor triad,B4
A-minor seventh chord,A4
D-major triad,A4
G-major triad,G4
D-minor triad,A4
D-minor triad,A4
G-minor seventh chord,G4
D-minor triad,F4
E-half-diminished seventh chord,E4
A-major triad,E4
D-minor triad,D4
Minor Third with octave doublings above D,D4
D-quartal trichord,A4
D-minor triad,A4
G-dominant seventh chord,G4
F-major triad,A4
B-half-diminished seventh chord,B4
A-minor triad,C5
E-minor triad,B4
A-minor seventh chord,A4
G-major triad,G4
C-major triad,G4
D-incomplete minor-seventh chord,F4
E-half-diminished seventh chord,G4
F-major triad,A4
C-major triad,G4
A-dominant seventh chord,G4
Bb-major triad,F4
A-minor triad,E4
E-minor triad,E4
D-dominant seventh chord,D4
G-major triad,G4
A-minor triad,A4
B-half-diminished seventh chord,B4
C-major triad,C5
F-major-second major tetrachord,C5
F-quartal trichord,C5
A-minor triad,C5
A-quartal tetramirror,C5
G-incomplete major-seventh chord,B4
A-dominant seventh chord,A4
G-dominant seventh chord,G4
F-major triad,A4
G-whole-tone trichord,B4
B-minor triad,B4
E-minor triad,B4
C-major triad,E4
C-quartal trichord,D4
C-major triad,G4
F-major seventh chord,A4
B-diminished triad,B4
C-major triad,C5
F-major triad,C5
F-major triad,C5
A-minor triad,C5
A-minor triad,C5
A-quartal trichord,B4
A-minor seventh chord,A4
G-major triad,G4
D-minor triad,A4
D-minor triad,A4
G-dominant seventh chord,G4
D-major-second minor tetrachord,F4
E-half-diminished seventh chord,E4
D-minor triad,D4
D-minor triad,D4
D-minor triad,A4
Bb-major seventh chord,A4
F-quartal trichord,G4
A-minor triad,A4
B-half-diminished seventh chord,B4
C-major triad,C5
G-major triad,B4
A-minor seventh chord,A4
G-major triad,G4
C-major triad,G4
F-major triad,F4
E-diminished triad,G4
F-major triad,A4
G-minor seventh chord,G4
C-major triad,G4
D-major-second minor tetrachord,F4
E-dominant seventh chord,E4
E-minor triad,B4
C-major triad,C5
G-major triad,D5
G-major triad,B4
G-major triad,D5
C-major triad,C5
G-major-second major tetrachord,B4
A-minor seventh chord,A4
G-major triad,G4
E-minor triad,B4
A-perfect-fourth minor tetrachord,C5
B-incomplete minor-seventh chord,D5
G-major triad,B4
A-incomplete minor-seventh chord,C5
G-major triad,D5
C-major seventh chord,C5
A-quartal trichord,B4
A-minor seventh chord,A4
Major Third with octave doublings above G,G4
D-minor triad,A4
D-minor triad,A4
C-quartal trichord,G4
G-minor seventh chord,F4
D-quartal trichord,E4
D-major triad,D4
G-major triad,D4
A-dominant seventh chord,A4
D-major triad,A4
E-lydian tetrachord,G4
F#-half-diminished seventh chord,A4
B-major triad,B4
C-major triad,C5
G-major-second major tetrachord,B4
A-minor seventh chord,A4
G-major triad,G4
G-major triad,G4
D-minor triad,F4
E-incomplete minor-seventh chord,G4
D-minor triad,A4
G-dominant seventh chord,G4
A-dominant seventh chord,G4
D-minor triad,F4
A-major-second major tetrachord,E4
D,D4
D-minor triad,A4
G-minor seventh chord,G4
A-dominant seventh chord,A4
A-major triad,E4
D-minor triad,F4
D-quartal trichord,E4
G,G4
D-major-second minor tetrachord,F4
Bb-minor-second quartal tetrachord,E4
Bb-major triad,D4
A-major triad,C#4
G-quartal trichord,D4
D-minor triad,A4
D-minor triad,A4
B-incomplete minor-seventh chord,D5
A-minor triad,C5
E-major triad,B4
F-major seventh chord,A4
B-diminished triad,B4
C-augmented triad,C5
F-minor-second quartal tetrachord,B4
Minor Third with octave doublings above A,A4
E-minor triad,B4
C-major triad,C5
F-major triad,A4
A-major triad,A4
A-major triad,E4
D-minor triad,F4
D-minor triad,F4
D-quartal trichord,E4
Bb-major triad,D4
E-half-diminished seventh chord,E4
D-minor triad,F4
G-minor seventh chord,G4
F-major triad,A4
G-minor triad,G4
F-augmented major tetrachord,F4
E-half-diminished seventh chord,E4
D-minor triad,D4
G-major triad,D5
G-major triad,D5
C-major triad,E5
G-major triad,D5
C-major triad,E5
C#-diminished seventh chord,C#5
D-major triad,D5
G-quartal trichord,D5
A-minor triad,E5
E-major triad,B4
A-minor triad,C5
A-dominant seventh chord,A4
D-minor triad,A4
D-quartal trichord,E4
D-minor triad,F4
A-major triad,E4
A-minor triad,A4
C-augmented triad,G#4
A-minor triad,A4
B-half-diminished seventh chord,B4
D-minor seventh chord,C5
E-minor triad,B4
F-incomplete major-seventh chord,A4
E-major triad,G#4
D-quartal trichord,A4
E-minor triad,B4
A-major triad,C#5
G-quartal trichord,D5
D-minor triad,A4
G-minor seventh chord,G4
F-incomplete major-seventh chord,A4
D-quartal trichord,E4
D-minor triad,F4
A-minor triad,E4
C#-diminished triad,G4
D-minor triad,F4
E-half-diminished seventh chord,E4
D-dominant seventh chord,D4
A-incomplete dominant-seventh chord,C#4
D-minor triad,D4
C#-diminished triad,E4
D-minor triad,F4
E-half-diminished seventh chord,E4
G-quartal trichord,D4
Bb-major triad,F4
C-major triad,G4
F-major triad,A4
B-diminished triad,B4
C-major triad,C5
E-minor triad,B4
F-major triad,A4
G-dominant seventh chord,G4
D-major-second minor tetrachord,F4
E-half-diminished seventh chord,E4
Bb-major triad,D4
A-major triad,E4
D-major-second minor tetrachord,F4
C#-diminished seventh chord,G4
F-incomplete major-seventh chord,F4
G-minor triad,G4
D-minor triad,D4
A-major triad,C#4
G-quartal trichord,D4
D-minor triad,D5
D-minor triad,A4
B-incomplete minor-seventh chord,D5
G#-diminished triad,D5
E-major triad,E5
A-major-second minor tetrachord,C5
B-half-diminished seventh chord,B4
A-major triad,A4
D-minor triad,F4
D-minor triad,A4
G-major triad,G4
D-major-second minor tetrachord,F4
E-half-diminished seventh chord,E4
D-incomplete major-seventh chord,D4
D-minor triad,D4
D-minor triad,F4
C-major triad,G4
F-major triad,A4
F-major triad,A4
Bb-major triad,B-4
F-major-second major tetrachord,A4
G-minor seventh chord,G4
F-major triad,F4
D-minor triad,F4
E-incomplete minor-seventh chord,G4
F-major triad,A4
D-major triad,A4
G-major-second minor tetrachord,B-4
A-incomplete minor-seventh chord,A4
G-minor seventh chord,G4
F-major triad,F4
F-major triad,A4
B-diminished triad,B4
C-major triad,C5
F-major-second major tetrachord,A4
Bb-major triad,D5
G#-diminished seventh chord,D5
A-major triad,C#5
D-minor triad,D5
A-incomplete dominant-seventh chord,E5
D-minor triad,F5
E-half-diminished seventh chord,E5
D-minor triad,D5
E-half-diminished seventh chord,D5
A-major triad,C#5
D-major triad,D5
D-major triad,A4
D-major triad,A4
G-major triad,B4
C#-diminished triad,C#5
D-major triad,D5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
E-minor triad,B4
B-minor triad,D5
A-major triad,A4
D-major-second major tetrachord,F#4
E-incomplete minor-seventh chord,G4
D-major triad,F#4
D-quartal trichord,E4
D-major triad,D4
D-major triad,D4
A-major triad,E4
D-major-second major tetrachord,F#4
A-dominant seventh chord,E4
B-minor triad,D4
E-minor triad,E4
F#-major triad,F#4
Minor Third with octave doublings above B,D5
B-quartal trichord,C#5
Major Third with octave doublings above D,D5
C#-incomplete minor-seventh chord,E5
D-major triad,D5
A-major triad,C#5
E-major triad,B4
A-major triad,A4
A-major triad,A4
D-major triad,A4
D-major triad,D5
A-major triad,C#5
D-major triad,A4
B-major triad,B4
B-dominant seventh chord,A4
E-major-second minor tetrachord,G4
E-quartal trichord,F#4
C#-incomplete minor-seventh chord,E4
D-major-second major tetrachord,F#4
E-incomplete minor-seventh chord,G4
F#-minor triad,A4
E-minor triad,G4
F#-incomplete minor-seventh chord,F#4
D-quartal trichord,E4
D-major triad,D4
D-major triad,D4
A-major triad,E4
D-major-second major tetrachord,F#4
A-dominant seventh chord,E4
D-major triad,D4
E-minor seventh chord,E4
D-major triad,F#4
D-major triad,A4
D-major triad,A4
F#-minor triad,A4
B-minor triad,F#4
G-major triad,G4
F#-incomplete minor-seventh chord,F#4
D-quartal trichord,E4
D-major triad,D4
G-major triad,G4
G-major triad,B4
D-major triad,D5
G-major-second major tetrachord,B4
G-quartal trichord,A4
G-major triad,B4
C#-diminished triad,C#5
D-major triad,D5
A-minor triad,E5
D-major triad,D5
D-dominant seventh chord,C5
G-major-second major tetrachord,B4
A-dominant seventh chord,A4
E-minor triad,G4
D-major triad,A4
G-major-second major tetrachord,B4
G-quartal trichord,A4
G-major triad,G4
D-major triad,A4
G-major triad,B4
G-major triad,B4
G-quartal trichord,A4
D-major triad,D5
E-minor seventh chord,D5
A-major triad,C#5
D-major triad,D5
G-major triad,B4
C-major triad,C5
G-major triad,B4
A-dominant seventh chord,A4
E-major-second minor tetrachord,G4
G-major triad,G4
D-major triad,F#4
G-major triad,G4
G-major triad,G4
E-minor triad,G4
G-quartal trichord,A4
G-major triad,B4
G-major triad,B4
A-incomplete minor-seventh chord,C5
